"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\App.css", "CSS", 0, 0, 23, 1, 3, 27
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\App.tsx", "TypeScript JSX", 0, 211, 0, 17, 14, 242
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\Home.css", "CSS", 0, 0, 6, 1, 0, 7
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\Home.tsx", "TypeScript JSX", 0, 10, 0, 0, 4, 14
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\Login.css", "CSS", 0, 0, 64, 6, 9, 79
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\Login.tsx", "TypeScript JSX", 0, 53, 0, 6, 8, 67
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\Quiz.css", "CSS", 0, 0, 81, 3, 17, 101
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\Quiz.tsx", "TypeScript JSX", 0, 46, 0, 8, 4, 58
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\ScoreSection.css", "CSS", 0, 0, 52, 1, 11, 64
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\ScoreSection.tsx", "TypeScript JSX", 0, 65, 0, 1, 6, 72
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\AddQuestion.tsx", "TypeScript JSX", 0, 78, 0, 2, 9, 89
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\AdminScreen.tsx", "TypeScript JSX", 0, 29, 0, 6, 8, 43
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\EditQuestion.tsx", "TypeScript JSX", 0, 131, 0, 9, 11, 151
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\Statistics.tsx", "TypeScript JSX", 0, 40, 0, 1, 3, 44
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\UserManagement.tsx", "TypeScript JSX", 0, 80, 0, 10, 11, 101
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\components\EditForm.tsx", "TypeScript JSX", 0, 82, 0, 0, 3, 85
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\components\QuestionTable.tsx", "TypeScript JSX", 0, 53, 0, 1, 5, 59
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\components\UserForm.tsx", "TypeScript JSX", 0, 67, 0, 1, 8, 76
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\components\UserTable.tsx", "TypeScript JSX", 0, 43, 0, 1, 5, 49
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\css\AddQuestion.css", "CSS", 0, 0, 43, 0, 8, 51
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\css\AdminScreen.css", "CSS", 0, 0, 62, 0, 10, 72
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\css\EditQuestion.css", "CSS", 0, 0, 135, 1, 31, 167
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\css\UserManagement.css", "CSS", 0, 0, 188, 2, 42, 232
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\hooks\useQuestions.ts", "TypeScript", 30, 0, 0, 0, 7, 37
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\utils\formatDate.ts", "TypeScript", 9, 0, 0, 1, 2, 12
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\utils\handleAdminLogout.tsx", "TypeScript JSX", 0, 11, 0, 1, 3, 15
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\admin\utils\userApi.ts", "TypeScript", 90, 0, 0, 1, 6, 97
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\ValidationSchema.tsx", "TypeScript JSX", 0, 64, 0, 3, 7, 74
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\goToNextQuestion.tsx", "TypeScript JSX", 0, 7, 0, 0, 3, 10
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\handleAnswer.tsx", "TypeScript JSX", 0, 54, 0, 1, 10, 65
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\handleLogin.tsx", "TypeScript JSX", 0, 16, 0, 0, 3, 19
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\components\utils\submitAnswers.tsx", "TypeScript JSX", 0, 41, 0, 4, 8, 53
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\useLogin.tsx", "TypeScript JSX", 0, 40, 0, 1, 4, 45
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\useQuizData.tsx", "TypeScript JSX", 0, 33, 0, 0, 8, 41
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\fetchQuizData.tsx", "TypeScript JSX", 0, 47, 0, 5, 10, 62
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\handleLogout.tsx", "TypeScript JSX", 0, 16, 0, 4, 5, 25
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\mapQuizData.tsx", "TypeScript JSX", 0, 18, 0, 0, 3, 21
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\hooks\utils\shuffleArray.tsx", "TypeScript JSX", 0, 9, 0, 0, 4, 13
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\index.css", "CSS", 0, 0, 12, 0, 2, 14
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\index.tsx", "TypeScript JSX", 0, 15, 0, 18, 8, 41
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Users\kabas\Documents\APP\ITSocietyQuiz_practice\frontend\src\types.ts", "TypeScript", 116, 0, 0, 4, 20, 140
"Total", "-", 245, 1359, 666, 122, 344, 2736